1170077963 : 0 : [339, 6094, 480, 1282798155, 1158, 40, 0, 220L, 0, 23, 1L, 2L, 56, 90616.2]
1765700930 : 0 : [34, 6559, 51, 1277363092, 757078, 32, 0, -1L, 1, 55, 36L, 4L, 121, 6020.4]
2364790652 : 0 : [0, 2957, 0, 1314894729, 146547, 0, 0, -1L, 1, 23, 37L, 9L, 71, 9172.0]
2545650423 : 1 : [3, 365, 23, 1324513646, 41, 0, 0, -1L, 0, 0, 0, 1L, 39, 186186.9]
1801522797 : 0 : [13, 23, 30, 1302194260, 55, 2, 0, -1L, 0, 0, 8L, 7L, 44, 2613746.2]
1918946154 : 0 : [32, 188, 162, 1295033254, 8563, 66, 1, 0, 0, 24, 1L, 1L, 17, 614474.6]
1740182117 : 0 : [521, 694, 767, 1275450488, 1154, 22, 1, 0, 1, 82, 2L, 4L, 44, 536058.2]
1443511045 : 0 : [338, 2671, 519, 1313024753, 507034, 2017, 1, 0, 1, 8, 109L, 2L, 12, 47060.9]
1738670483 : 0 : [124, 749, 447, 1279765033, 527, 317, 0, 220L, 1, 7, 1L, 3L, 14, 510001.8]
2359490311 : 1 : [0, 15, 77, 1316119616, 31, 0, 0, -1L, 0, 0, 3L, 3L, 85, 505122.4]
1656949481 : 0 : [651, 1418, 933, 1256787654, 28102, 665, 1, 0, 0, 18, 50L, 7L, 62, 493698.6]
1893549044 : 0 : [299, 2332, 658, 1292298293, 37093, 307, 0, 200L, 1, 60, 16L, 3L, 118, 275367.3]
2396818460 : 1 : [6, 36, 14, 1316109015, 8, 0, 0, -1L, 1, 0, 2L, 2L, 68, 1944373.2]
1810632930 : 0 : [775, 1717, 959, 1284247247, 1941978, 175, 0, -1L, 0, 55, 420L, 1213L, 65, 42757.3]
1639934822 : 0 : [1534, 6064, 1669, 1286664991, 8866, 6, 0, -1L, 1, 51, 3L, 2L, 115, 8660.1]
1926746140 : 0 : [52, 326, 72, 1296060623, 60712, 6, 1, 0, 0, 7, 12L, 3L, 14, 117916.5]
2358704561 : 1 : [0, 14, 3, 1316104042, 40, 0, 0, -1L, 1, 0, 5L, 5L, 82, 484987.4]
1747059411 : 0 : [370, 63281, 756, 1274897464, 3376, 45, 0, 220L, 0, 58, 15L, 3L, 8, 5967.1]
1401880315 : 0 : [698, 5791, 922, 1269460654, 48316, 142, 1, 0, 1, 57, 104L, 50L, 85, 32694.2]
2359494963 : 1 : [0, 21, 3, 1316105982, 47, 0, 0, -1L, 1, 0, 5L, 5L, 65, 831356.2]
1819309627 : 0 : [173, 716, 205, 1285543923, 413, 1, 0, -1L, 1, 7, 5L, 7L, 65, 941404.1]
2559635375 : 1 : [19, 74, 55, 1325183478, 51, 0, 0, -1L, 0, 0, 0, 0, 57, 126505.0]
1681398854 : 0 : [547, 3172, 2000, 1263414375, 1065, 0, 0, -1L, 1, 0, 0, 0, 81, 13953.3]
1301774912 : 0 : [62, 654, 351, 1256237324, 127, 2, 0, 220L, 0, 77, 2L, 4L, 46, 1146606.6]
1339067275 : 0 : [178, 5268, 326, 1288409207, 2112, 19, 0, 220L, 1, 13, 0, 3L, 52, 897588.8]
2359541983 : 1 : [5, 161, 51, 1316106909, 73, 0, 0, -1L, 0, 0, 0, 0, 69, 106205.5]
2358870047 : 1 : [6, 79, 17, 1316067838, 53, 0, 0, -1L, 0, 0, 0, 0, 101, 230206.1]
1897405737 : 1 : [15, 79, 60, 1292795015, 56, 0, 0, -1L, 0, 0, 13L, 6L, 93, 1.9]
3496242373 : 0 : [125, 63, 198, 1371734830, 164, 0, 0, -1L, 0, 53, 1L, 2L, 34, 181454.7]
1510293457 : 1 : [49, 53, 204, 1281962898, 98, 0, 0, -1L, 0, 0, 4L, 4L, 75, 212983.88888888888]
1496903590 : 0 : [628, 1923, 761, 1251494072, 4396, 49, 1, 0, 1, 9, 3L, 6L, 91, 28393.0]
1652837395 : 0 : [66, 160, 248, 1255234678, 405, 5, 0, -1L, 0, 0, 3L, 1L, 12, 375076.4]
2005427613 : 0 : [143, 435, 165, 1299216154, 200, 3, 0, -1L, 1, 0, 1L, 8L, 16, 673566.9]
2394337540 : 1 : [0, 16, 5, 1316012173, 35, 0, 0, -1L, 1, 0, 6L, 6L, 88, 353029.9]
1732701841 : 0 : [465, 5361, 525, 1271850743, 949145, 62, 0, -1L, 1, 40, 3906L, 182L, 107, 61628.9]
1698148492 : 0 : [260, 2830, 323, 1280803290, 98321, 68, 1, 0, 1, 59, 10L, 14L, 24, 119908.5]
1749666210 : 0 : [11, 345, 380, 1275440341, 56, 14, 0, -1L, 0, 11, 0, 0, 55, 158892.5]
1660386667 : 0 : [163, 1307, 202, 1258077661, 1874556, 17, 1, 0, 1, 30, 21L, 148L, 33, 34479.6]
1361423133 : 0 : [192, 236, 327, 1304639217, 293, 2, 0, -1L, 1, 15, 1L, 1L, 7, 408798.1]
1851599157 : 0 : [2355, 20294, 2811, 1289243958, 122547, 11979, 0, -1L, 1, 9, 12L, 7L, 55, 9619.666666666666]
1729853157 : 0 : [299, 5174, 328, 1271272529, 5337518, 354, 1, 0, 1, 67, 89L, 27L, 13, 20917.2]
1700201192 : 0 : [28, 490, 70, 1296618416, 77, 6, 0, -1L, 0, 0, 4L, 9L, 23, 1186482.3333333333]
1402553104 : 0 : [259, 8889, 373, 1263703233, 20900, 2409, 0, -1L, 1, 31, 12L, 7L, 49, 16468.5]
2335108640 : 1 : [107, 5135, 1471, 1314158036, 546, 0, 0, -1L, 0, 0, 0, 0, 46, 0.8]
1572518492 : 0 : [293, 1920, 596, 1271449140, 3766, 10, 1, 0, 1, 39, 1L, 1L, 48, 524462.5]
1801869544 : 0 : [53, 418, 142, 1283014947, 113, 30, 0, -1L, 0, 0, 3L, 3L, 10, 844429.5]
2396224080 : 1 : [47, 71, 83, 1316090041, 113, 0, 0, -1L, 1, 0, 6L, 4L, 55, 402961.9]
1662001440 : 0 : [184, 6428, 1408, 1258652098, 794, 8082, 0, -1L, 1, 25, 3L, 4L, 39, 27454.4]
1917716463 : 1 : [17, 74, 141, 1294768065, 69, 0, 0, -1L, 0, 0, 9L, 9L, 69, 25384.7]
1718622107 : 0 : [24, 11005, 123, 1269561791, 1034709, 1641, 0, -1L, 1, 24, 128L, 10L, 40, 4700.6]
1676952801 : 1 : [17, 238, 759, 1262295200, 358, 0, 0, -1L, 1, 0, 0, 0, 100, 366295.4]
1292242582 : 0 : [116, 1592, 169, 1254383571, 349, 10, 0, 220L, 0, 0, 0, 4L, 63, 811266.4]
1272981093 : 0 : [121, 1475, 199, 1288145045, 492, 0, 0, -1L, 0, 7, 0, 4L, 40, 29318.4]
2619161690 : 1 : [43, 189, 77, 1324327922, 78, 0, 0, -1L, 0, 0, 0, 0, 49, 130653.3]
2394182592 : 1 : [1, 14, 5, 1316005596, 37, 0, 0, -1L, 0, 0, 4L, 4L, 71, 908752.9]
1547582344 : 0 : [1674, 9683, 1932, 1251494074, 201332, 55, 1, 0, 1, 34, 8L, 5L, 80, 35143.1]
3202984845 : 1 : [726, 716, 728, 1355253060, 1007, 0, 0, 220L, 1, 29, 0, 1L, 22, 25732.4]
2396220572 : 1 : [18, 73, 44, 1316089780, 104, 0, 0, -1L, 1, 0, 3L, 3L, 90, 516905.6]
2734116907 : 0 : [122, 3981, 174, 1337654341, 943063, 433, 0, -1L, 1, 19, 1152L, 278L, 40, 77127.6]
1612005697 : 0 : [69, 813, 595, 1264884067, 413, 32, 0, -1L, 0, 23, 1L, 2L, 27, 318546.0]
1719232542 : 0 : [291, 995, 309, 1269643071, 14408660, 163, 1, 0, 0, 0, 1183L, 16113L, 25, 113278.9]
2397187122 : 1 : [0, 16, 2, 1316119624, 37, 0, 0, -1L, 0, 0, 4L, 4L, 85, 505125.2]
1799910131 : 0 : [304, 7899, 898, 1282437926, 996, 404, 0, 220L, 0, 58, 3L, 1L, 15, 115770.6]
1865462723 : 0 : [108, 949, 128, 1290032392, 477, 53, 1, 0, 1, 18, 2L, 1L, 17, 66328.8]
1868403351 : 0 : [496, 838, 988, 1290281333, 3652, 355, 0, -1L, 0, 26, 2L, 1L, 11, 92597.0]
3255166797 : 1 : [5, 171, 64, 1358866220, 44, 0, 0, -1L, 0, 0, 0, 0, 70, 326166.5]
2540749153 : 1 : [64, 192, 114, 1324331998, 93, 0, 0, -1L, 1, 0, 45L, 14L, 37, 180073.7]
2615030765 : 0 : [250, 861, 347, 1329161560, 354, 12, 0, -1L, 1, 13, 3L, 5L, 19, 305917.5]
1925155243 : 0 : [378, 445, 469, 1295333107, 6237, 57, 0, -1L, 0, 27, 2L, 1L, 40, 3172772.0]
1673890053 : 0 : [396, 1252, 464, 1261617478, 991, 47, 0, 220L, 1, 12, 0, 6L, 72, 66916.0]
2825986082 : 0 : [15, 486, 39, 1339087981, 868097, 0, 1, 0, 1, 80, 59L, 30L, 68, 60625.8]
1896820277 : 0 : [6, 4, 29, 1292727662, 44, 0, 0, -1L, 0, 0, 6L, 8L, 37, 19441220.0]
1734409641 : 0 : [137, 77432, 811, 1272247376, 52593, 6, 0, -1L, 0, 29, 1L, 0, 53, 810.3]
2882205043 : 1 : [41, 937, 1348, 1342119488, 198, 0, 0, -1L, 0, 50, 1L, 0, 7, 3658.2]
2815133121 : 0 : [48, 1486, 51, 1343948928, 174291, 0, 0, -1L, 1, 26, 167L, 65L, 56, 15729.5]
2358369351 : 1 : [0, 16, 2, 1316094263, 38, 0, 0, -1L, 0, 0, 3L, 3L, 81, 484480.1]
1799351443 : 0 : [204, 1767, 542, 1282389808, 447, 32, 0, 220L, 1, 0, 1L, 4L, 12, 146813.8]
2458597321 : 1 : [50, 232, 152, 1321035312, 94, 0, 0, -1L, 0, 0, 49L, 13L, 29, 180530.6]
1850184533 : 0 : [191, 826, 372, 1289114057, 1041, 143, 1, 0, 0, 18, 1L, 3L, 33, 209309.2]
2359491313 : 1 : [0, 24, 2, 1316105905, 37, 0, 0, -1L, 1, 0, 5L, 5L, 56, 710416.5]
1740648275 : 0 : [229, 5857, 940, 1273694365, 112731, 1, 0, -1L, 1, 23, 34L, 5L, 74, 106289.5]
2358811911 : 1 : [0, 25, 2, 1316105891, 42, 0, 0, -1L, 1, 0, 3L, 3L, 64, 555486.2]
3198951383 : 1 : [14, 1062, 771, 1356100972, 51, 34, 0, -1L, 0, 0, 1L, 0, 33, 303734.3]
1764523734 : 0 : [238, 5956, 250, 1277133130, 925181, 8, 1, 0, 1, 18, 3824L, 568L, 35, 9247.4]
3260271774 : 1 : [351, 1641, 1644, 1363373064, 667, 0, 0, -1L, 0, 23, 3L, 4L, 53, 1.6]
2360185273 : 1 : [0, 15, 5, 1316119761, 38, 0, 0, -1L, 1, 0, 4L, 4L, 96, 522941.5]
1765830541 : 0 : [180, 4741, 202, 1278015474, 1130, 1, 0, -1L, 1, 19, 1L, 3L, 16, 17659.0]
1297294441 : 0 : [58, 1740, 125, 1267077793, 332, 115, 0, -1L, 0, 32, 0, 5L, 57, 93008.8]
1057262270 : 1 : [61, 2375, 1105, 1358637045, 6246, 0, 1, 0, 0, 58, 0, 0, 83, 5856.4]
2865890082 : 0 : [15, 637, 27, 1341968395, 16882, 49, 0, -1L, 1, 56, 25L, 17L, 41, 343292.1]
2636671780 : 1 : [1, 65, 20, 1325010815, 35, 0, 0, -1L, 0, 0, 9L, 9L, 87, 54751.4]
1661488634 : 0 : [104, 4673, 513, 1258471995, 565, 876, 0, -1L, 1, 0, 2L, 0, 9, 26293.4]
1047564741 : 1 : [11, 268, 613, 1287112583, 341, 0, 0, -1L, 1, 0, 1L, 0, 60, 26372.5]
2012341321 : 0 : [513, 1057, 612, 1299541590, 1080, 2, 0, 220L, 0, 68, 2L, 6L, 33, 48624.2]
1769345827 : 0 : [107, 2449, 269, 1278464140, 468, 90, 0, 220L, 0, 9, 1L, 5L, 26, 31106.3]
1258824907 : 0 : [262, 1155, 280, 1278455501, 963791, 12, 1, 0, 0, 15, 672L, 662L, 37, 137351.9]
2396819830 : 1 : [2, 12, 5, 1316109046, 4, 0, 0, -1L, 1, 0, 6L, 5L, 77, 1609642.4]
2398254560 : 0 : [42, 784, 129, 1316148874, 196, 138, 0, -1L, 0, 0, 0, 2L, 26, 105332.5]
2294616700 : 0 : [0, 1002, 1, 1312824812, 19685, 6, 0, -1L, 1, 39, 118L, 13L, 48, 259413.8]
1510528765 : 1 : [75, 57, 118, 1281886256, 99, 0, 0, -1L, 0, 0, 3L, 3L, 75, 212976.66666666666]
1758343263 : 0 : [32, 11688, 323, 1276630477, 851, 599, 0, -1L, 0, 28, 1L, 1L, 25, 18040.7]
2044160323 : 0 : [435, 1218, 1589, 1301078820, 13449, 3, 0, -1L, 1, 36, 2L, 0, 97, 36742.3]
1652428345 : 0 : [291, 4110, 1037, 1255103210, 1648, 224, 0, -1L, 0, 27, 3L, 4L, 32, 800967.2]
2358977221 : 1 : [6, 26, 20, 1316109024, 11, 0, 0, -1L, 0, 0, 3L, 2L, 71, 1944334.0]
3185005960 : 1 : [1, 1137, 1079, 1361835210, 183, 0, 0, -1L, 0, 0, 0, 0, 71, 0.4]
2258794484 : 0 : [124, 3613, 550, 1311262696, 322, 18, 0, -1L, 1, 16, 6L, 0, 26, 34270.9]
1182357140 : 0 : [596, 3530, 694, 1251495363, 314011, 8, 1, 0, 0, 95, 4L, 6L, 35, 9490.5]
2168335990 : 1 : [5, 36, 45, 1307804006, 111, 3, 0, -1L, 1, 8, 3L, 3L, 41, 777944.3]
2459055811 : 1 : [37, 456, 143, 1321048966, 148, 0, 0, -1L, 0, 0, 0, 0, 47, 126343.9]
3129040893 : 1 : [229, 5944, 1297, 1353294974, 372, 0, 0, 220L, 0, 21, 0, 0, 54, 1.8]
1951304477 : 1 : [0, 26, 62, 1356333371, 47, 0, 0, -1L, 1, 0, 3L, 3L, 40, 805186.3]
2356954385 : 1 : [0, 14, 1, 1316010454, 29, 0, 0, -1L, 0, 0, 8L, 8L, 67, 378861.1]
1785424267 : 0 : [50, 1803, 52, 1280283575, 3547, 3, 0, 220L, 0, 27, 1L, 3L, 33, 6028.9]
3222154672 : 1 : [0, 35, 65, 1363017474, 61, 0, 0, -1L, 0, 0, 3L, 3L, 38, 744350.7]
2359492447 : 1 : [0, 23, 2, 1316105908, 48, 0, 0, -1L, 1, 0, 5L, 5L, 57, 710406.1]
2397190164 : 1 : [1, 15, 5, 1316119761, 46, 0, 0, -1L, 1, 0, 3L, 3L, 86, 522949.3]
1833703985 : 0 : [241, 172, 646, 1287511260, 760, 116, 0, 220L, 0, 10, 2L, 6L, 46, 21432.7]
1853488073 : 0 : [499, 519, 960, 1289405415, 583, 3, 0, 220L, 1, 0, 2L, 4L, 41, 1222092.7]
1845777395 : 1 : [0, 2452, 1279, 1288796434, 137, 0, 0, -1L, 1, 20, 0, 0, 109, 189782.5]
1254139301 : 0 : [153, 995, 212, 1268367466, 2030242, 59, 1, 0, 1, 0, 798L, 1222L, 24, 38334.0]
1717131597 : 0 : [185, 8028, 279, 1269383054, 37770, 18, 1, 0, 1, 12, 2L, 1L, 59, 16094.6]
2565873180 : 0 : [51, 326, 226, 1322434280, 130, 0, 0, -1L, 1, 0, 0, 0, 4, 246077.7]
2166016257 : 0 : [68, 1673, 90, 1307415995, 148, 18, 1, 0, 1, 14, 0, 2L, 39, 32003.6]
1198392970 : 0 : [2, 524, 1, 1251495364, 2137097, 0, 1, 0, 1, 37, 225L, 102L, 38, 228138.4]
1686563364 : 1 : [2, 34, 99, 1302627373, 50, 1, 0, -1L, 0, 0, 3L, 3L, 67, 439731.1]
1400556975 : 0 : [575, 24288, 1443, 1256670370, 29171, 1522, 1, 0, 1, 15, 4L, 1L, 9, 5797.5]
1798891954 : 0 : [414, 34133, 616, 1284925812, 498883, 0, 0, -1L, 1, 64, 0, 1L, 53, 540.1]
1098851077 : 0 : [0, 2, 2, 1310521203, 9, 0, 0, -1L, 1, 23, 9L, 9L, 73, 1847918.5]
2397146694 : 1 : [1, 15, 5, 1316119701, 45, 0, 0, -1L, 0, 0, 3L, 3L, 87, 505196.6]
2357527903 : 1 : [1, 14, 5, 1316005597, 43, 0, 0, -1L, 1, 0, 5L, 6L, 70, 1027619.4]
1987505233 : 0 : [81, 285, 275, 1298562894, 1445, 331, 0, -1L, 1, 25, 1L, 1L, 37, 415729.9]
1273754034 : 0 : [192, 2128, 864, 1262705366, 552, 15, 0, 220L, 0, 21, 1L, 1L, 22, 362333.3]
1686709997 : 0 : [565, 4629, 565, 1264609511, 251314, 1, 1, 0, 1, 19, 160L, 165L, 79, 41054.5]
1744356622 : 0 : [114, 414, 275, 1281648873, 164, 0, 0, -1L, 1, 0, 1L, 1L, 24, 1129894.5]
2397144674 : 1 : [0, 15, 2, 1316119647, 24, 0, 0, -1L, 1, 0, 4L, 4L, 85, 505152.7]
1793282952 : 0 : [380, 681, 633, 1281934463, 624, 325, 1, 0, 1, 12, 2L, 11L, 29, 521238.5]
1633776997 : 0 : [75, 2319, 1355, 1355103288, 515, 0, 0, -1L, 1, 0, 0, 0, 117, 105774.5]
2136951035 : 1 : [14, 58, 109, 1305506540, 55, 0, 0, -1L, 0, 0, 7L, 7L, 82, 52303.3]
2199870962 : 0 : [211, 1147, 315, 1309271208, 252, 57, 0, 220L, 1, 3, 1L, 2L, 10, 293693.3]
2357653023 : 1 : [0, 8, 3, 1316012265, 11, 0, 0, -1L, 0, 0, 0, 0, 71, 338906.5]
2099231594 : 0 : [88, 39, 1252, 1302720066, 180, 0, 0, -1L, 0, 0, 3L, 3L, 14, 58995.9]
2513273934 : 0 : [10, 168, 11, 1320427661, 2607, 0, 0, -1L, 0, 14, 23L, 8L, 87, 392887.0]
2482557597 : 0 : [204, 32770, 211, 1326241168, 443563, 53, 0, -1L, 1, 87, 468L, 154L, 96, 906.0]
2176544782 : 1 : [62, 406, 81, 1308236038, 107, 0, 0, -1L, 1, 0, 0, 0, 56, 121367.9]
2396035152 : 1 : [5, 69, 13, 1316067979, 47, 0, 0, -1L, 1, 0, 1L, 2L, 68, 412414.8]
1854781175 : 1 : [30, 1684, 958, 1289510070, 276, 0, 0, -1L, 1, 0, 0, 0, 67, 0.5]
1444865141 : 0 : [575, 6256, 604, 1268577074, 1267807, 10, 1, 0, 1, 19, 780L, 241L, 51, 9156.6]
2356423042 : 0 : [15, 14002, 26, 1315363039, 1015529, 0, 0, -1L, 1, 59, 101L, 22L, 37, 455.1]
2196932955 : 0 : [121, 1216, 125, 1308981122, 458, 0, 0, -1L, 1, 14, 179L, 24L, 76, 303120.8]
1911496231 : 1 : [0, 1355, 764, 1297267591, 423, 0, 0, -1L, 1, 28, 0, 0, 89, 23096.6]
1846533353 : 0 : [14, 31, 35, 1288844278, 56, 1, 0, -1L, 1, 0, 6L, 6L, 22, 3187247.4]
1516476862 : 1 : [28, 22, 150, 1339369451, 54, 0, 0, -1L, 1, 0, 3L, 3L, 93, 212760.22222222222]
1998318945 : 0 : [1136, 834, 1808, 1298934813, 1746, 0, 0, -1L, 1, 24, 10L, 3L, 53, 377615.5]
1486631691 : 0 : [137, 2360, 285, 1277168562, 438, 109, 0, -1L, 0, 38, 4L, 1L, 13, 148069.5]
1375229335 : 1 : [1, 38, 55, 1289672358, 36, 0, 0, -1L, 0, 0, 3L, 3L, 89, 2.1]
1701633237 : 1 : [330, 37674, 970, 1302893882, 2006, 475, 0, -1L, 0, 15, 0, 0, 51, 379.8]
2842079201 : 1 : [15, 1868, 1033, 1341082903, 159, 0, 0, -1L, 1, 43, 0, 0, 62, 0.1]
2396175862 : 1 : [87, 88, 252, 1316090034, 186, 0, 0, -1L, 1, 0, 1L, 2L, 50, 395601.0]
2256718990 : 0 : [791, 2000, 863, 1311153653, 15844, 19, 0, -1L, 0, 87, 4L, 5L, 64, 20694.3]
1850145517 : 0 : [95, 3233, 100, 1289106429, 1378241, 52, 1, 0, 1, 7, 584L, 552L, 90, 64277.7]
2394343064 : 1 : [0, 12, 4, 1316012363, 16, 0, 0, -1L, 0, 0, 0, 0, 104, 408543.5]
1347374793 : 0 : [2, 1106, 73, 1304504467, 2854, 0, 0, -1L, 1, 8, 1L, 3L, 41, 422978.9]
2356992805 : 1 : [0, 9, 2, 1316012328, 9, 0, 0, -1L, 1, 0, 9L, 10L, 85, 955217.6]
2396712590 : 1 : [0, 20, 2, 1316105940, 40, 0, 0, -1L, 1, 0, 6L, 6L, 65, 710251.3]
2359494173 : 1 : [0, 19, 2, 1316105942, 39, 0, 0, -1L, 1, 0, 6L, 6L, 68, 710254.7]
1737756060 : 0 : [283, 1785, 375, 1282793006, 766, 154, 0, -1L, 0, 22, 1L, 5L, 21, 137148.3]
1250601280 : 0 : [119, 765, 686, 1261808936, 148, 41, 0, 220L, 1, 32, 1L, 5L, 63, 67641.3]
2160505820 : 1 : [28, 1491, 1236, 1307337489, 176, 0, 0, -1L, 1, 0, 0, 0, 64, 0.3]
2214681143 : 1 : [41, 1028, 632, 1309703826, 790, 0, 0, -1L, 1, 36, 3L, 3L, 53, 0.9]
1212812142 : 0 : [182, 1945, 175, 1271287476, 39316607, 408, 1, 0, 1, 0, 4755L, 2819L, 11, 71656.7]
1880643645 : 1 : [1, 2457, 1073, 1291356152, 190, 0, 0, -1L, 1, 33, 0, 0, 102, 189797.6]
2394256724 : 1 : [0, 14, 1, 1316010524, 27, 0, 0, -1L, 1, 0, 8L, 8L, 66, 378712.0]
3062376517 : 1 : [44, 536, 666, 1350900605, 228, 0, 0, 200L, 1, 10, 1L, 1L, 12, 22253.1]
1516475493 : 1 : [23, 24, 155, 1339367622, 63, 0, 0, -1L, 1, 0, 3L, 3L, 95, 212784.0]
1346052161 : 0 : [265, 2561, 301, 1287008791, 721, 31, 0, -1L, 1, 36, 1L, 2L, 35, 570631.5]
2271803153 : 1 : [0, 1159, 708, 1311820387, 9, 0, 0, -1L, 1, 57, 3L, 3L, 55, 15519.3]
1773183713 : 0 : [45, 514, 192, 1278902078, 103, 8, 0, -1L, 0, 0, 1L, 4L, 43, 783005.0]
3256049591 : 1 : [2, 2358, 1389, 1364663403, 49, 0, 0, -1L, 1, 61, 0, 0, 51, 4.8]
2396294340 : 1 : [0, 18, 2, 1316094200, 36, 0, 0, -1L, 1, 0, 5L, 5L, 80, 484575.5]
2374572212 : 0 : [7, 54, 44, 1315308148, 17, 1, 0, -1L, 0, 0, 2L, 1L, 15, 57.55555555555556]
3294156767 : 1 : [3, 1125, 1177, 1361932148, 128, 0, 0, -1L, 1, 0, 0, 0, 61, 0.4]
2560014313 : 1 : [0, 81, 6, 1325158018, 31, 0, 0, -1L, 1, 0, 0, 0, 43, 116966.1]
1400767753 : 0 : [152, 5819, 433, 1272120430, 486, 4020, 0, 220L, 1, 6, 0, 1L, 8, 10689.625]
2358978945 : 1 : [2, 5, 5, 1316109054, 7, 0, 0, -1L, 1, 0, 3L, 2L, 88, 4489032.0]
2842086973 : 1 : [42, 927, 1431, 1341115857, 223, 0, 0, -1L, 1, 7, 0, 1L, 9, 7213.3]
1951642465 : 0 : [365, 5068, 919, 1296930548, 1404, 1073, 0, 220L, 1, 16, 1L, 1L, 29, 67394.9]
3145472214 : 1 : [320, 2728, 1477, 1359204425, 619, 0, 0, -1L, 0, 26, 0, 0, 83, 0.8]
1433480611 : 0 : [146, 648, 274, 1301611642, 219, 88, 0, 220L, 0, 21, 2L, 0, 136, 35252.6]
1213558142 : 1 : [426, 1493, 1648, 1335130093, 805, 0, 0, 220L, 1, 50, 1L, 1L, 68, 2669.1]
1658616995 : 1 : [121, 775, 377, 1272469457, 371, 30, 0, 220L, 0, 0, 10L, 3L, 24, 2632436.2]
2440156781 : 0 : [31, 16710, 101, 1320272606, 1291751, 0, 0, -1L, 0, 15, 1L, 1L, 24, 215.3]
3122398142 : 1 : [190, 2950, 1068, 1358041390, 762, 0, 0, 220L, 0, 0, 0, 0, 57, 8.5]
2011585883 : 0 : [196, 1131, 309, 1299537205, 2316, 5, 0, -1L, 0, 58, 5L, 3L, 23, 1509939.9]
1293997927 : 0 : [96, 620, 201, 1254547541, 225, 36, 0, 220L, 1, 3, 0, 3L, 48, 717581.1]
2746237584 : 0 : [19, 621, 102, 1332702070, 54, 84, 0, -1L, 0, 12, 0, 0, 23, 26638.0]
